What is the super keyword?  The super keyword is used to invoke the overridden method, which overrides one of its superclass methods. This keyword allows to access overridden methods and also to access hidden members of the superclass.It also forwards a call from a constructor, to a constructor in the superclass.
What is method overriding?  Method overriding is a feature that allows a subclass to provide the implementation of a method that overrides in the main class. It will override the implementation in the superclass by providing the same method name, same parameter, and same return type.
What is an interface?   An interface is a collection of an abstract method. If the class implements an interface, it thereby inherits all the abstract methods of an interface.Java uses Interface to implement multiple inheritances.
What is exception handling? An exception is an event that occurs during the execution of a program. Exceptions can be of any type – Runtime exception, Error exceptions. Those exceptions are adequately handled through exception handling mechanism like try, catch, and throw keywords.
What are tokens?    A compiler recognizes a token, and it cannot be broken down into component elements. Keywords, identifiers, constants, string literals, and operators are examples of tokens.Even punctuation characters are also considered as tokens. Example: Brackets, Commas, Braces, and Parentheses.
What is the main difference between overloading and overriding? Overloading is static Binding, whereas Overriding is dynamic Binding. Overloading is nothing but the same method with different arguments, and it may or may not return the equal value in the same class itself.Overriding is the same method names with the same arguments and return types associated with the class and its child class.
What is the main difference between a class and an object?  An object is an instance of a class. Objects hold multiple information, but classes don’t have any information. Definition of properties and functions can be done in class and can be used by the object.A class can have sub-classes, while an object doesn’t have sub-objects.
What is an abstraction? Abstraction is a useful feature of OOPS, and it shows only the necessary details to the client of an object. Meaning, it shows only required details for an object, not the inner constructors, of an object. Example – When you want to switch on the television, it is not necessary to know the inner circuitry/mechanism needed to switch on the TV. Whatever is required to switch on TV will be shown by using an abstract class.
What are the access modifiers?  Access modifiers determine the scope of the method or variables that can be accessed from other various objects or classes. There are five types of access modifiers, and they are as follows: Private,Protected,Public,Friend,Protected Friend
What are sealed modifiers?  Sealed modifiers are the access modifiers where the methods can not inherit it. Sealed modifiers can also be applied to properties, events, and methods. This modifier cannot be used to static members.
How can we call the base method without creating an instance?   Yes, it is possible to call the base method without creating an instance. And that method should be “Static method.”Doing Inheritance from that class.-Use Base Keyword from a derived class.
What is the difference between new and override?    The new modifier instructs the compiler to use the new implementation instead of the base class function. Whereas, Override modifier helps to override the base class function.
What are the various types of constructors? There are three types of constructors: Default Constructor – With no parameters. Parametric Constructor – With Parameters. Create a new instance of a class and also passing arguments simultaneously. Copy Constructor – Which creates a new object as a copy of an existing object.
What is early and late Binding? Early binding refers to the assignment of values to variables during design time, whereas late Binding refers to the assignment of values to variables during run time.
What is ‘this’ pointer? THIS pointer refers to the current object of a class. THIS keyword is used as a pointer which differentiates between the current object with the global object. It refers to the current object.
What is the difference between structure and a class?   The default access type of a Structure is public, but class access type is private. A structure is used for grouping data, whereas a class can be used for grouping data and methods. Structures are exclusively used for data, and it doesn’t require strict validation, but classes are used to encapsulate and inherent data, which requires strict validation.
What is the default access modifier in a class? The default access modifier of a class is Internal and the default access modifier of a class member is Private.
What is a pure virtual function?    A pure virtual function is a function which can be overridden in the derived class but cannot be defined. A virtual function can be declared as Pure by using the operator =0.Example Virtual void function1() // Virtual, Not pure Virtual void function2() = 0 //Pure virtual Virtual void function1() // Virtual, Not pure Virtual void function2() = 0 //Pure virtual
What are all the operators that cannot be overloaded?   Following are the operators that cannot be overloaded : Scope Resolution (::) Member Selection (.) Member selection through a pointer to function (.*)
What is dynamic or run time polymorphism?   Dynamic or Run time polymorphism is also known as method overriding in which call to an overridden function is resolved during run time, not at the compile time. It means having two or more methods with the same name, same signature but with different implementation.
Do we require a parameter for constructors? No, we do not require a parameter for constructors.
What is a copy constructor? This is a special constructor for creating a new object as a copy of an existing object. There will always be only one copy constructor that can be either defined by the user or the system.
What does the keyword virtual represented in the method definition? It means we can override the method.
Whether static method can use nonstatic members?    False.
What are a base class, subclass, and superclass?    The base class is the most generalized class, and it is said to be a root class.A Subclass is a class that inherits from one or more base classes.The superclass is the parent class from which another class inherits.
What is static and dynamic Binding? Binding is nothing but the association of a name with the class. Static Binding is a binding in which name can be associated with the class during compilation time, and it is also called as early Binding.Dynamic Binding is a binding in which name can be associated with the class during execution time, and it is also called as Late Binding.
How many instances can be created for an abstract class?    Zero instances will be created for an abstract class. In other words, you cannot create an instance of an Abstract Class.
Which keyword can be used for overloading?  Operator keyword is used for overloading.
What is the default access specifier in a class definition? Private access specifier is used in a class definition.
Which OOPS concept is used as a reuse mechanism?    Inheritance is the OOPS concept that can be used as a reuse mechanism.
Which OOPS concept exposes only the necessary information to the calling functions? Encapsulation
